digit_0: 31.45540059932715, 35.54453119753374, 36.23690014532125, 33.2458347817971, 32.758611900514616, 31.624616465238027, 35.97955705783446, 35.06762713252219, 
digit_1: 33.919056088304146, 31.26195793827666, 35.710976264027764, 38.42749676942898, 30.956264351731274, 30.532346787261424, 31.756716904365685, 28.219188034458227, 
digit_2: 23.188188659577765, 25.64461415286186, 30.271538278292294, 24.48320367639738, 28.131561038870665, 23.29190816593725, 22.897116743130287, 25.310048044145073, 
digit_3: 32.945770410560115, 28.56055966936558, 31.86237509868337, 32.89303343772266, 26.941225905824947, 26.573247529094676, 24.474384761935788, 31.313090654923855, 
digit_4: 32.36147091062034, 32.93451232180077, 34.47296018441712, 31.951089880616745, 32.131563562317666, 29.36142390717409, 30.40943152779156, 29.032125582586456, 
digit_5: 39.560030790367676, 41.88343533974299, 40.243078591707324, 41.84050568199729, 44.337916982907934, 34.82942731468735, 33.363680031016685, 34.86714238532472, 
digit_6: 32.76253280667458, 38.93875301932486, 36.394188710038726, 34.92595330285593, 30.268353259600673, 30.23862535367782, 33.620404249994685, 31.473702796781225, 
digit_7: 0.0, 10.383669209267415, 15.47885340145862, 21.81603422912707, 13.133354773007177, 13.657025754481241, 18.420991073771123, 14.02150270603936, 
digit_8: 28.692507249390538, 29.861219220494114, 24.616672156486285, 29.114854805061317, 29.27349403323021, 29.75570256012167, 25.712826869580653, 25.60422655646392, 
digit_9: 31.45286691720356, 29.34178847832517, 27.327751511936512, 35.62343414909487, 34.00830215388134, 29.968974462195504, 27.298884000424696, 25.585701515111595, 
